Site,Divide,Elevation,Bitterroot,longitude,latitude
STMARY,West,2851,Yes,-114.2442701,46.50993355
WILLOW,West,2503,Yes,-113.904035,46.321284
DEERMNT,West,2217,Yes,-114.0551231,46.02568917
SULAPK,West,1848,Yes,-114.0005824,45.85967315
RIDGE,West,1695,Yes,-113.988438,46.703755
REED,West,1337,Yes,-113.9583497,46.4532335
WEBER,West,1305,Yes,-114.017913,46.271922
SEELEYSWAN,West,1247,No,-113.4678828,47.17280223
MPGNORTH,West,1240,No,-113.665659,47.521878
HORNER,West,1195,Yes,-114.19947,46.427901
DARBY,West,1185,Yes,-114.1772932,46.02753634
SHEEP,West,1163,Yes,-114.020434,46.698839
KBK,West,1142,Yes,-114.1705144,46.11155987
TROY,West,1138,Yes,-114.1056862,46.67439935
NELSON,West,1124,Yes,-113.9685509,46.58565609
WALNUT,West,1101,Yes,-114.034529,46.500564
POWELL,West,1099,Yes,-114.1729955,46.41716891
TELLER,West,1052,Yes,-114.1360603,46.32728938
BEAR,West,1051,Yes,-114.091482,46.7632533
BELLXING,West,1014,Yes,-114.115442,46.453243
FLORENCE,West,997,Yes,-114.0766,46.641055
YVAS,East,991,No,-108.607763,45.764109
FLOOD,West,981,Yes,-114.043785,46.698591
DAVIES,West,976,Yes,-114.158707,46.41163
LILO,West,967,Yes,-114.073938,46.751362
OXBOW,West,961,Yes,-114.058701,46.759903
ANGELA,East,884,No,-106.2348039,46.74848658
