recordingId,assetName,originalAssetName,originalAssetStartSec,duration,site,season,timestamp,datasets,annotationId,commonName,taxonCode,startSec,endSec,lowFreq,highFreq,reviewStatus,legacyUuid,creatingUser,detectionModel,confidenceScore,tags
942045,DARBY_2018-11-06_23.45.30_Z_28.wav,Darby_2018-11-06_23.45.30_Z.wav,29659.5,4.6,DARBY,Fall 2024,2018-11-07T07:59:49.501Z,,1719678,Greater Yellowlegs,greyel,1.5,3.10000000000218,0,11025,Unreviewed,,,nfc_taxo141,0.91538417339325,
942044,DARBY_2018-11-06_23.45.30_Z_27.wav,Darby_2018-11-06_23.45.30_Z.wav,29590.300000000003,4.6,DARBY,Fall 2024,2018-11-07T07:58:40.301Z,,1719677,Greater Yellowlegs,greyel,1.5,3.09999999999854,0,11025,Unreviewed,,,nfc_taxo141,0.921493947505951,
942043,DARBY_2018-11-06_23.45.30_Z_26.wav,Darby_2018-11-06_23.45.30_Z.wav,29572.7,4.6,DARBY,Fall 2024,2018-11-07T07:58:22.701Z,,1719676,Greater Yellowlegs,greyel,1.5,3.10000000000218,0,11025,Unreviewed,,,nfc_taxo141,0.906764388084412,
995705,YVAS_2018-11-04_23.26.01_Z_18.wav,YVAS_2018-11-04_23.26.01_Z.wav,46731.3,4.8,YVAS,Fall 2024,2018-11-05T12:24:52.301Z,,1798473,Greater Yellowlegs,greyel,1.5,3.30000000000291,0,11025,Reviewed,,,nfc_taxo141,0.92917412519455,
941372,DARBY_2018-11-01_23.52.28_Z_8.wav,Darby_2018-11-01_23.52.28_Z.wav,2899.7000000000003,7.4,DARBY,Fall 2024,2018-11-02T00:40:47.701Z,,1718804,Greater Yellowlegs,greyel,1.5,3.29999999999973,0,11025,Reviewed,,,nfc_taxo141,0.929453015327454,
941372,DARBY_2018-11-01_23.52.28_Z_8.wav,Darby_2018-11-01_23.52.28_Z.wav,2899.7000000000003,7.4,DARBY,Fall 2024,2018-11-02T00:40:47.704Z,,1718805,Greater Yellowlegs,greyel,4.09999999999991,5.90000000000009,0,11025,Reviewed,,,nfc_taxo141,0.929444074630737,
941371,DARBY_2018-11-01_23.52.28_Z_7.wav,Darby_2018-11-01_23.52.28_Z.wav,2876.9,4.8,DARBY,Fall 2024,2018-11-02T00:40:24.901Z,,1718803,Greater Yellowlegs,greyel,1.5,3.30000000000018,0,11025,Reviewed,,,nfc_taxo141,0.929313182830811,
941370,DARBY_2018-11-01_23.52.28_Z_6.wav,Darby_2018-11-01_23.52.28_Z.wav,2670.1000000000004,14,DARBY,Fall 2024,2018-11-02T00:36:58.101Z,,1718799,Greater Yellowlegs,greyel,1.5,3.5,0,11025,Reviewed,,,nfc_taxo141,0.929425299167633,
941370,DARBY_2018-11-01_23.52.28_Z_6.wav,Darby_2018-11-01_23.52.28_Z.wav,2670.1000000000004,14,DARBY,Fall 2024,2018-11-02T00:36:58.104Z,,1718800,Greater Yellowlegs,greyel,4.89999999999964,6.5,0,11025,Reviewed,,,nfc_taxo141,0.90966808795929,
941370,DARBY_2018-11-01_23.52.28_Z_6.wav,Darby_2018-11-01_23.52.28_Z.wav,2670.1000000000004,14,DARBY,Fall 2024,2018-11-02T00:36:58.106Z,,1718801,Greater Yellowlegs,greyel,6.69999999999982,10.0999999999999,0,11025,Unreviewed,,,nfc_taxo141,0.929392635822296,
941370,DARBY_2018-11-01_23.52.28_Z_6.wav,Darby_2018-11-01_23.52.28_Z.wav,2670.1000000000004,14,DARBY,Fall 2024,2018-11-02T00:36:58.110Z,,1718802,Greater Yellowlegs,greyel,10.5,12.5,0,11025,Unreviewed,,,nfc_taxo141,0.929433524608612,
941369,DARBY_2018-11-01_23.52.28_Z_5.wav,Darby_2018-11-01_23.52.28_Z.wav,2650.5,10.6,DARBY,Fall 2024,2018-11-02T00:36:38.501Z,,1718796,Greater Yellowlegs,greyel,1.5,3.10000000000036,0,11025,Unreviewed,,,nfc_taxo141,0.928796827793121,
941369,DARBY_2018-11-01_23.52.28_Z_5.wav,Darby_2018-11-01_23.52.28_Z.wav,2650.5,10.6,DARBY,Fall 2024,2018-11-02T00:36:38.504Z,,1718797,Greater Yellowlegs,greyel,4.90000000000009,6.90000000000009,0,11025,Unreviewed,,,nfc_taxo141,0.929357886314392,
941369,DARBY_2018-11-01_23.52.28_Z_5.wav,Darby_2018-11-01_23.52.28_Z.wav,2650.5,10.6,DARBY,Fall 2024,2018-11-02T00:36:38.507Z,,1718798,Greater Yellowlegs,greyel,7.10000000000036,9.10000000000036,0,11025,Unreviewed,,,nfc_taxo141,0.929237425327301,
941368,DARBY_2018-11-01_23.52.28_Z_4.wav,Darby_2018-11-01_23.52.28_Z.wav,2624.5,22.8,DARBY,Fall 2024,2018-11-02T00:36:12.501Z,,1718791,Greater Yellowlegs,greyel,1.5,6.5,0,11025,Reviewed,,,nfc_taxo141,0.929504930973053,
941368,DARBY_2018-11-01_23.52.28_Z_4.wav,Darby_2018-11-01_23.52.28_Z.wav,2624.5,22.8,DARBY,Fall 2024,2018-11-02T00:36:12.509Z,,1718792,Greater Yellowlegs,greyel,9.30000000000018,11.3000000000002,0,11025,Reviewed,,,nfc_taxo141,0.929467141628265,
941368,DARBY_2018-11-01_23.52.28_Z_4.wav,Darby_2018-11-01_23.52.28_Z.wav,2624.5,22.8,DARBY,Fall 2024,2018-11-02T00:36:12.511Z,,1718793,Greater Yellowlegs,greyel,11.7000000000003,13.5,0,11025,Reviewed,,,nfc_taxo141,0.928420305252075,
941368,DARBY_2018-11-01_23.52.28_Z_4.wav,Darby_2018-11-01_23.52.28_Z.wav,2624.5,22.8,DARBY,Fall 2024,2018-11-02T00:36:12.515Z,,1718794,Greater Yellowlegs,greyel,15.9000000000001,17.5,0,11025,Unreviewed,,,nfc_taxo141,0.921596348285675,
941368,DARBY_2018-11-01_23.52.28_Z_4.wav,Darby_2018-11-01_23.52.28_Z.wav,2624.5,22.8,DARBY,Fall 2024,2018-11-02T00:36:12.519Z,,1718795,Greater Yellowlegs,greyel,19.7000000000003,21.3000000000002,0,11025,Unreviewed,,,nfc_taxo141,0.928034543991089,
