recordingId,assetName,originalAssetName,originalAssetStartSec,duration,site,season,timestamp,datasets,annotationId,commonName,taxonCode,startSec,endSec,lowFreq,highFreq,reviewStatus,legacyUuid,creatingUser,detectionModel,confidenceScore,sunsetOffsetMin,civilDawnOffsetMin,civilDuskOffsetMin,nauticalDawnOffsetMin,nauticalDuskOffsetMin,astronomicalDawnOffsetMin,astronomicalDuskOffsetMin,tags
957294,FLOOD_2018-10-07_18.34.00_Z_29.wav,FLOOD-21C_20181007_183400.wav,48239.5,4.2,FLOOD,Fall 2024,2018-10-08T07:57:59.501Z,,1736960,Upland Sandpiper,uplsan,1.5,2.70000000000437,0,11025,Unreviewed,,,nfc_taxo141,0.920712113380432,772,43,742,78,707,113,671,
872672,FLOOD_2018-08-22_20.04.00_Z_60.wav,FLOOD-21C_20180822_200400.wav,35929.700000000004,8.8,FLOOD,Fall 2024,2018-08-23T06:02:49.701Z,,1625026,Baird's Sandpiper,baisan,1.5,3.09999999999854,0,11025,Unreviewed,,,nfc_taxo141,0.999106109142303,566,-11,534,29,494,72,451,
872672,FLOOD_2018-08-22_20.04.00_Z_60.wav,FLOOD-21C_20180822_200400.wav,35929.700000000004,8.8,FLOOD,Fall 2024,2018-08-23T06:02:49.703Z,,1625027,Baird's Sandpiper,baisan,3.89999999999418,5.89999999999418,0,11025,Unreviewed,,,nfc_taxo141,0.992556393146515,566,-11,534,29,494,72,451,
872672,FLOOD_2018-08-22_20.04.00_Z_60.wav,FLOOD-21C_20180822_200400.wav,35929.700000000004,8.8,FLOOD,Fall 2024,2018-08-23T06:02:49.705Z,,1625028,Upland Sandpiper,uplsan,5.69999999999709,7.29999999999563,0,11025,Unreviewed,,,nfc_taxo141,0.965054512023926,566,-11,534,29,494,72,451,
872564,FLOOD_2018-08-21_20.06.00_Z_166.wav,FLOOD-21C_20180821_200600.wav,29099.7,4.6,FLOOD,Fall 2024,2018-08-22T04:10:59.701Z,,1624882,Upland Sandpiper,uplsan,1.5,3.10000000000218,0,11025,Unreviewed,,,nfc_taxo141,0.962128937244415,453,-121,420,-82,381,-38,337,
871593,FLOOD_2018-08-12_20.21.00_Z_70.wav,FLOOD-21C_20180812_202100.wav,33618.9,4.6,FLOOD,Fall 2024,2018-08-13T05:41:18.901Z,,1623092,Upland Sandpiper,uplsan,1.5,3.09999999999854,0,11025,Unreviewed,,,nfc_taxo141,0.958819687366486,528,-18,494,23,452,70,405,
871592,FLOOD_2018-08-12_20.21.00_Z_69.wav,FLOOD-21C_20180812_202100.wav,33575.700000000004,4.8,FLOOD,Fall 2024,2018-08-13T05:40:35.701Z,,1623091,Upland Sandpiper,uplsan,1.5,3.29999999999563,0,11025,Unreviewed,,,nfc_taxo141,0.964736759662628,527,-19,494,23,452,70,404,
871591,FLOOD_2018-08-12_20.21.00_Z_68.wav,FLOOD-21C_20180812_202100.wav,33543.700000000004,5,FLOOD,Fall 2024,2018-08-13T05:40:03.701Z,,1623090,Upland Sandpiper,uplsan,1.5,3.5,0,11025,Unreviewed,,,nfc_taxo141,0.96480655670166,527,-20,493,22,451,69,404,
869440,FLOOD_2018-07-22_20.50.00_Z_30.wav,FLOOD-21C_20180722_205000.wav,2759.1000000000004,4.4,FLOOD,Fall 2024,2018-07-22T21:35:59.101Z,,1619884,Upland Sandpiper,uplsan,1.5,2.89999999999964,0,11025,Unreviewed,,,nfc_taxo141,0.930171370506287,15,-475,-22,-427,-70,-368,-130,
869237,FLOOD_2018-07-18_20.54.00_Z_25.wav,FLOOD-21C_20180718_205400.wav,13259.5,4.8,FLOOD,Fall 2024,2018-07-19T00:34:59.501Z,,1619666,Upland Sandpiper,uplsan,1.5,3.30000000000109,0,11025,Unreviewed,,,nfc_taxo141,0.959133863449097,190,-291,152,-242,103,-180,40,
868786,FLOOD_2018-07-14_20.57.00_Z_17.wav,FLOOD-21C_20180714_205700.wav,1302.3000000000002,7.6,FLOOD,Fall 2024,2018-07-14T21:18:42.301Z,,1619031,Upland Sandpiper,uplsan,1.5,2.69999999999982,0,11025,Unreviewed,,,nfc_taxo141,0.953095138072968,-10,-482,-48,-432,-98,-367,-164,
868786,FLOOD_2018-07-14_20.57.00_Z_17.wav,FLOOD-21C_20180714_205700.wav,1302.3000000000002,7.6,FLOOD,Fall 2024,2018-07-14T21:18:42.304Z,,1619032,Spotted Sandpiper,sposan,4.69999999999982,6.09999999999991,0,11025,Unreviewed,,,nfc_taxo141,0.928341686725616,-10,-482,-48,-432,-98,-367,-164,
867443,FLOOD_2018-07-06_21.02.00_Z_55.wav,FLOOD-21C_20180706_210200.wav,2939.1000000000004,4.6,FLOOD,Fall 2024,2018-07-06T21:50:59.101Z,,1617265,Upland Sandpiper,uplsan,1.5,3.09999999999991,0,11025,Unreviewed,,,nfc_taxo141,0.901492357254028,18,-442,-21,-390,-73,-318,-146,
1248461,FLOOD_2017-10-17_18.15.00_Z_2.wav,FLOOD-21C_20171017_181500.wav,1341.3000000000002,4.6,FLOOD,Fall 2024,2017-10-17T18:37:21.301Z,,2255914,Upland Sandpiper,uplsan,1.5,3.09999999999991,0,11025,Unreviewed,,,nfc_taxo141,0.930760383605957,-10,-772,-40,-736,-75,-701,-110,
1248172,FLOOD_2017-10-14_07.53.28_Z_40.wav,FLOOD-21C_20171014_075328.wav,1135.9,4.4,FLOOD,Fall 2024,2017-10-14T08:12:23.901Z,,2255399,Upland Sandpiper,uplsan,1.5,2.89999999999986,0,11025,Unreviewed,,,nfc_taxo141,0.951391935348511,798,49,768,84,733,119,698,
1232432,FLOOD_2017-08-31_19.47.00_Z_47.wav,FLOOD-21C_20170831_194700.wav,2762.5,7.4,FLOOD,Fall 2024,2017-08-31T20:33:02.501Z,,2223413,Upland Sandpiper,uplsan,1.5,2.70000000000027,0,11025,Unreviewed,,,nfc_taxo141,0.939086377620697,14,-594,-18,-556,-56,-515,-96,
1232432,FLOOD_2017-08-31_19.47.00_Z_47.wav,FLOOD-21C_20170831_194700.wav,2762.5,7.4,FLOOD,Fall 2024,2017-08-31T20:33:02.504Z,,2223414,American Redstart,amered,4.30000000000018,5.90000000000009,0,11025,Unreviewed,,,nfc_taxo139b,0.855331659317017,14,-594,-18,-556,-56,-515,-96,tune-MPG-shorebirds-test
1224346,FLOOD_2017-08-14_20.18.00_Z_93.wav,FLOOD-21C_20170814_201800.wav,4238.7,5,FLOOD,Fall 2024,2017-08-14T21:28:38.701Z,,2203972,Upland Sandpiper,uplsan,1.5,3.5,0,11025,Unreviewed,,,nfc_taxo141,0.935555517673492,39,-514,6,-473,-36,-427,-82,
1221783,FLOOD_2017-08-11_20.22.00_Z_151.wav,FLOOD-21C_20170811_202200.wav,10487.7,4.2,FLOOD,Fall 2024,2017-08-11T23:16:47.701Z,,2198350,Upland Sandpiper,uplsan,1.5,2.70000000000073,0,11025,Unreviewed,,,nfc_taxo141,0.907855153083801,142,-402,109,-360,66,-312,19,
1219748,FLOOD_2017-08-08_20.27.00_Z_788.wav,FLOOD-21C_20170808_202700.wav,37228.9,8,FLOOD,Fall 2024,2017-08-09T06:47:28.901Z,,2194322,Spotted Sandpiper,sposan,1.5,2.90000000000146,0,11025,Unreviewed,,,nfc_taxo141,0.979088366031647,588,53,554,96,511,145,462,
1219748,FLOOD_2017-08-08_20.27.00_Z_788.wav,FLOOD-21C_20170808_202700.wav,37228.9,8,FLOOD,Fall 2024,2017-08-09T06:47:28.905Z,,2194323,Upland Sandpiper,uplsan,5.09999999999854,6.5,0,11025,Unreviewed,,,nfc_taxo141,0.945381581783295,588,53,554,96,511,145,462,
1218373,FLOOD_2017-08-07_20.29.00_Z_89.wav,FLOOD-21C_20170807_202900.wav,2641.1000000000004,4.4,FLOOD,Fall 2024,2017-08-07T21:13:01.101Z,,2191901,Upland Sandpiper,uplsan,1.5,2.89999999999964,0,11025,Unreviewed,,,nfc_taxo141,0.955978810787201,12,-520,-22,-477,-65,-428,-115,
1075953,FLOOD_2016-10-16_07.49.29_Z_12.wav,FLOOD-NFC21C_20161016_074929.wav,1655.1000000000001,9.6,FLOOD,Fall 2024,2016-10-16T08:17:04.101Z,,1933303,Upland Sandpiper,uplsan,1.5,6.5,0,11025,Unreviewed,,,nfc_taxo141,0.916847407817841,807,51,776,86,741,121,706,
1075953,FLOOD_2016-10-16_07.49.29_Z_12.wav,FLOOD-NFC21C_20161016_074929.wav,1655.1000000000001,9.6,FLOOD,Fall 2024,2016-10-16T08:17:04.106Z,,1933304,Upland Sandpiper,uplsan,6.5,8.09999999999991,0,11025,Unreviewed,,,nfc_taxo141,0.916847407817841,807,51,776,86,741,121,706,
1075952,FLOOD_2016-10-16_07.49.29_Z_11.wav,FLOOD-NFC21C_20161016_074929.wav,1604.5,11.4,FLOOD,Fall 2024,2016-10-16T08:16:13.501Z,,1933301,Upland Sandpiper,uplsan,1.5,6.5,0,11025,Unreviewed,,,nfc_taxo141,0.905899047851563,806,50,776,85,740,120,705,
1075952,FLOOD_2016-10-16_07.49.29_Z_11.wav,FLOOD-NFC21C_20161016_074929.wav,1604.5,11.4,FLOOD,Fall 2024,2016-10-16T08:16:13.506Z,,1933302,Upland Sandpiper,uplsan,6.5,9.90000000000009,0,11025,Unreviewed,,,nfc_taxo141,0.905899047851563,806,50,776,85,740,120,705,
1075950,FLOOD_2016-10-16_07.49.29_Z_9.wav,FLOOD-NFC21C_20161016_074929.wav,1532.9,14.8,FLOOD,Fall 2024,2016-10-16T08:15:01.901Z,,1933297,Upland Sandpiper,uplsan,1.5,6.5,0,11025,Unreviewed,,,nfc_taxo141,0.903079688549042,805,48,774,84,739,119,704,
1075950,FLOOD_2016-10-16_07.49.29_Z_9.wav,FLOOD-NFC21C_20161016_074929.wav,1532.9,14.8,FLOOD,Fall 2024,2016-10-16T08:15:01.906Z,,1933298,Upland Sandpiper,uplsan,6.5,11.5,0,11025,Unreviewed,,,nfc_taxo141,0.903079688549042,805,48,774,84,739,119,704,
1075950,FLOOD_2016-10-16_07.49.29_Z_9.wav,FLOOD-NFC21C_20161016_074929.wav,1532.9,14.8,FLOOD,Fall 2024,2016-10-16T08:15:01.911Z,,1933299,Upland Sandpiper,uplsan,11.5,13.3,0,11025,Unreviewed,,,nfc_taxo141,0.903079688549042,805,48,774,84,739,119,704,
1075949,FLOOD_2016-10-16_07.49.29_Z_8.wav,FLOOD-NFC21C_20161016_074929.wav,1517.3000000000002,11.4,FLOOD,Fall 2024,2016-10-16T08:14:46.301Z,,1933295,Upland Sandpiper,uplsan,1.5,6.5,0,11025,Unreviewed,,,nfc_taxo141,0.909393131732941,805,48,774,83,739,118,704,
1075949,FLOOD_2016-10-16_07.49.29_Z_8.wav,FLOOD-NFC21C_20161016_074929.wav,1517.3000000000002,11.4,FLOOD,Fall 2024,2016-10-16T08:14:46.306Z,,1933296,Upland Sandpiper,uplsan,6.5,9.89999999999986,0,11025,Unreviewed,,,nfc_taxo141,0.909393131732941,805,48,774,83,739,118,704,
1075948,FLOOD_2016-10-16_07.49.29_Z_7.wav,FLOOD-NFC21C_20161016_074929.wav,1457.9,19,FLOOD,Fall 2024,2016-10-16T08:13:46.901Z,,1933292,Upland Sandpiper,uplsan,1.5,6.5,0,11025,Unreviewed,,,nfc_taxo141,0.932916939258575,804,47,773,82,738,117,703,
1075948,FLOOD_2016-10-16_07.49.29_Z_7.wav,FLOOD-NFC21C_20161016_074929.wav,1457.9,19,FLOOD,Fall 2024,2016-10-16T08:13:46.907Z,,1933293,Upland Sandpiper,uplsan,7.5,12.5,0,11025,Unreviewed,,,nfc_taxo141,0.904865860939026,804,47,773,82,738,117,703,
1075948,FLOOD_2016-10-16_07.49.29_Z_7.wav,FLOOD-NFC21C_20161016_074929.wav,1457.9,19,FLOOD,Fall 2024,2016-10-16T08:13:46.912Z,,1933294,Upland Sandpiper,uplsan,12.5,17.5,0,11025,Unreviewed,,,nfc_taxo141,0.904865860939026,804,47,773,82,738,117,703,
1075947,FLOOD_2016-10-16_07.49.29_Z_6.wav,FLOOD-NFC21C_20161016_074929.wav,1441.3000000000002,9.6,FLOOD,Fall 2024,2016-10-16T08:13:30.301Z,,1933290,Upland Sandpiper,uplsan,1.5,6.5,0,11025,Unreviewed,,,nfc_taxo141,0.907468676567078,803,47,773,82,738,117,703,
1075947,FLOOD_2016-10-16_07.49.29_Z_6.wav,FLOOD-NFC21C_20161016_074929.wav,1441.3000000000002,9.6,FLOOD,Fall 2024,2016-10-16T08:13:30.306Z,,1933291,Upland Sandpiper,uplsan,6.5,8.09999999999991,0,11025,Unreviewed,,,nfc_taxo141,0.907468676567078,803,47,773,82,738,117,703,
1075946,FLOOD_2016-10-16_07.49.29_Z_5.wav,FLOOD-NFC21C_20161016_074929.wav,1413.7,9.4,FLOOD,Fall 2024,2016-10-16T08:13:02.701Z,,1933288,Upland Sandpiper,uplsan,1.5,6.5,0,11025,Unreviewed,,,nfc_taxo141,0.909776389598846,803,46,772,82,737,117,702,
1075946,FLOOD_2016-10-16_07.49.29_Z_5.wav,FLOOD-NFC21C_20161016_074929.wav,1413.7,9.4,FLOOD,Fall 2024,2016-10-16T08:13:02.706Z,,1933289,Upland Sandpiper,uplsan,6.5,7.90000000000009,0,11025,Unreviewed,,,nfc_taxo141,0.909776389598846,803,46,772,82,737,117,702,
1075945,FLOOD_2016-10-16_07.49.29_Z_4.wav,FLOOD-NFC21C_20161016_074929.wav,1386.9,6.8,FLOOD,Fall 2024,2016-10-16T08:12:35.901Z,,1933287,Upland Sandpiper,uplsan,1.5,5.29999999999995,0,11025,Unreviewed,,,nfc_taxo141,0.901486158370972,802,46,772,81,737,116,702,
1075944,FLOOD_2016-10-16_07.49.29_Z_3.wav,FLOOD-NFC21C_20161016_074929.wav,1347.9,6,FLOOD,Fall 2024,2016-10-16T08:11:56.901Z,,1933286,Upland Sandpiper,uplsan,1.5,4.5,0,11025,Unreviewed,,,nfc_taxo141,0.90198290348053,802,45,771,80,736,116,701,
1075943,FLOOD_2016-10-16_07.49.29_Z_2.wav,FLOOD-NFC21C_20161016_074929.wav,1275.9,8,FLOOD,Fall 2024,2016-10-16T08:10:44.901Z,,1933285,Upland Sandpiper,uplsan,1.5,6.5,0,11025,Unreviewed,,,nfc_taxo141,0.927542805671692,801,44,770,79,735,114,700,
1075942,FLOOD_2016-10-16_07.49.29_Z_1.wav,FLOOD-NFC21C_20161016_074929.wav,1160.9,19.8,FLOOD,Fall 2024,2016-10-16T08:08:49.901Z,,1933281,Upland Sandpiper,uplsan,1.5,6.5,0,11025,Unreviewed,,,nfc_taxo141,0.910410404205322,799,42,768,77,733,112,698,
1075942,FLOOD_2016-10-16_07.49.29_Z_1.wav,FLOOD-NFC21C_20161016_074929.wav,1160.9,19.8,FLOOD,Fall 2024,2016-10-16T08:08:49.906Z,,1933282,Upland Sandpiper,uplsan,6.5,11.5,0,11025,Unreviewed,,,nfc_taxo141,0.910410404205322,799,42,768,77,733,112,698,
1075942,FLOOD_2016-10-16_07.49.29_Z_1.wav,FLOOD-NFC21C_20161016_074929.wav,1160.9,19.8,FLOOD,Fall 2024,2016-10-16T08:08:49.911Z,,1933283,Upland Sandpiper,uplsan,11.5,13.7,0,11025,Unreviewed,,,nfc_taxo141,0.910410404205322,799,42,768,77,733,112,698,
1075942,FLOOD_2016-10-16_07.49.29_Z_1.wav,FLOOD-NFC21C_20161016_074929.wav,1160.9,19.8,FLOOD,Fall 2024,2016-10-16T08:08:49.916Z,,1933284,Upland Sandpiper,uplsan,16.0999999999999,18.3,0,11025,Unreviewed,,,nfc_taxo141,0.903685212135315,799,42,768,77,733,112,698,
1075941,FLOOD_2016-10-16_07.49.29_Z_0.wav,FLOOD-NFC21C_20161016_074929.wav,1124.9,5.2,FLOOD,Fall 2024,2016-10-16T08:08:13.901Z,,1933280,Upland Sandpiper,uplsan,1.5,3.70000000000005,0,11025,Unreviewed,,,nfc_taxo141,0.910702764987946,798,42,768,77,732,112,697,
1075939,FLOOD_2016-10-16_01.03.45_Z_17.wav,FLOOD-NFC21C_20161016_010345.wav,21950.9,7,FLOOD,Fall 2024,2016-10-16T07:09:35.901Z,,1933278,Upland Sandpiper,uplsan,1.5,5.5,0,11025,Unreviewed,,,nfc_taxo141,0.904735565185547,739,-17,709,18,674,53,639,
1075938,FLOOD_2016-10-16_01.03.45_Z_16.wav,FLOOD-NFC21C_20161016_010345.wav,17264.5,31.6,FLOOD,Fall 2024,2016-10-16T05:51:29.501Z,,1933272,Upland Sandpiper,uplsan,1.5,6.5,0,11025,Unreviewed,,,nfc_taxo141,0.914419174194336,661,-95,631,-60,596,-25,561,
